sku,navn,type,leverandor,merke,serie,kategori,nåpris,førpris,farge,tekstil,bredde_cm,høyde_cm,sittehøyde_cm,sittedybde_cm,url
318667,Brunstad Fia,3 seter,Brunstad AS,Brunstad,FIA,3 seter,32900,,Brun,Varde 39 Sepia,200,86,45,52,https://checkout.bohus.no/sofa/3-seter/fia-3-seter-sofa-8
319958,Jakobsen Lurno,3 seter,Jakobsen Home,Jakobsen,LURNO,3 seter,22630,,Beige/natur,Macan 102 Ecru,246,77,43,59,https://checkout.bohus.no/sofa/3-seter/lurno-3-seter-sofa-4
319959,Jakobsen Lurno,3 seter,Jakobsen Home,Jakobsen,LURNO,3 seter,22630,,Brun,Macan 108 Wood,246,77,43,59,https://checkout.bohus.no/sofa/3-seter/lurno-3-seter-sofa-5
319970,Jakobsen Lurno,3 seter med sjeselong XL og endeavslutning,Jakobsen Home,Jakobsen,LURNO,3 seter,27500,,Beige/natur,Macan 102 Ecru,273,77,43,59,https://checkout.bohus.no/sofa/3-seter/lurno-3-seter-sofa-med-sjeselong-xl-og-endeavslutning-11
319971,Jakobsen Lurno,3 seter med sjeselong XL og endeavslutning,Jakobsen Home,Jakobsen,LURNO,3 seter,27500,,Brun,Macan 108 Wood,273,77,43,59,https://checkout.bohus.no/sofa/3-seter/lurno-3-seter-sofa-med-sjeselong-xl-og-endeavslutning-12
319979,Jakobsen Lurno,3 seter med sjeselong XL og endeavslutning,Jakobsen Home,Jakobsen,LURNO,3 seter,27500,,Beige/natur,Macan 102 Ecru,273,77,43,59,https://checkout.bohus.no/sofa/3-seter/lurno-3-seter-sofa-med-sjeselong-xl-og-endeavslutning-4
319980,Jakobsen Lurno,3 seter med sjeselong XL og endeavslutning,Jakobsen Home,Jakobsen,LURNO,3 seter,27500,,Brun,Macan 108 Wood,273,77,43,59,https://checkout.bohus.no/sofa/3-seter/lurno-3-seter-sofa-med-sjeselong-xl-og-endeavslutning-5
319981,Jakobsen Lurno,3 seter med sjeselong XL og endeavslutning,Jakobsen Home,Jakobsen,LURNO,3 seter,27500,,Brun,Macan 16 Caramel,273,77,43,59,https://checkout.bohus.no/sofa/3-seter/lurno-3-seter-sofa-med-sjeselong-xl-og-endeavslutning-6
320215,Bohus Exclusive by Storm Storm Studio,3 seter XXL,Home Group Lithuania UAB,Bohus Exclusive by Storm Storm,STUDIO,3 seter,31490,,Brun,Adore Coffee 81,299,76,42,56,https://checkout.bohus.no/sofa/3-seter/studio-3-seter-sofa-xxl
321134,Bohus Exclusive by Storm Storm Studio,3 seter XL,Home Group Lithuania UAB,Bohus Exclusive by Storm Storm,STUDIO,3 seter,29290,,Beige/natur,Adore Liver 10,253,76,42,56,https://checkout.bohus.no/sofa/3-seter/studio-3-seter-sofa-xl
321135,Bohus Exclusive by Storm Storm Studio,3 seter XL,Home Group Lithuania UAB,Bohus Exclusive by Storm Storm,STUDIO,3 seter,29290,,Brun,Adore Tobacco 111,253,76,42,56,https://checkout.bohus.no/sofa/3-seter/studio-3-seter-sofa-xl-1
321136,Bohus Exclusive by Storm Storm Studio,3 seter XL,Home Group Lithuania UAB,Bohus Exclusive by Storm Storm,STUDIO,3 seter,29290,,Grå,Adore Steel 149,253,76,42,56,https://checkout.bohus.no/sofa/3-seter/studio-3-seter-sofa-xl-2
321140,Bohus Exclusive by Storm Storm Studio,3 seter XL,Home Group Lithuania UAB,Bohus Exclusive by Storm Storm,STUDIO,3 seter,26450,,Blå,Nina 2945 Blue,253,76,42,56,https://checkout.bohus.no/sofa/3-seter/studio-3-seter-sofa-xl-6
321141,Bohus Exclusive by Storm Storm Studio,3 seter XXL,Home Group Lithuania UAB,Bohus Exclusive by Storm Storm,STUDIO,3 seter,31490,,Beige/natur,Adore Liver 10,298,76,42,56,https://checkout.bohus.no/sofa/3-seter/studio-3-5-seter-sofa-xxl
321142,Bohus Exclusive by Storm Storm Studio,3 seter XXL,Home Group Lithuania UAB,Bohus Exclusive by Storm Storm,STUDIO,3 seter,31490,,Brun,Adore Tobacco 111,298,76,42,56,https://checkout.bohus.no/sofa/3-seter/studio-3-5-seter-sofa-xxl-1
321143,Bohus Exclusive by Storm Storm Studio,3 seter XXL,Home Group Lithuania UAB,Bohus Exclusive by Storm Storm,STUDIO,3 seter,31490,,Grå,Adore Steel 149,298,76,42,56,https://checkout.bohus.no/sofa/3-seter/studio-3-5-seter-sofa-xxl-2
321147,Bohus Exclusive by Storm Storm Studio,3 seter XXL,Home Group Lithuania UAB,Bohus Exclusive by Storm Storm,STUDIO,3 seter,27748,,Blå,Nina 2945 Blue,298,76,42,56,https://checkout.bohus.no/sofa/3-seter/studio-3-5-seter-sofa-xxl-6
321268,IMG Melby,3 seter,"IMG avd Skandinavia, Ekornes AS",IMG,MELBY,3 seter,25990,,Beige/natur,Molly 902 Beige,208,80,43,53,https://checkout.bohus.no/sofa/3-seter/melby-3-seter-sofa-12
321285,Bohus Exclusive by Storm Storm Studio,3 seter XL,Home Group Lithuania UAB,Bohus Exclusive by Storm Storm,STUDIO,3 seter,29290,,Brun,Adore Coffee 81,253,76,43,56,https://checkout.bohus.no/studio-3-seter-sofa-xl-7
322402,Signature Collection By Halvor Bakke,3 seter,Vilmers,Signature Collection By Halvor Bakke,SIGNATURE 700,3 seter,30231,,Beige/natur,Tobias Mist,224,73,43,54,https://checkout.bohus.no/sofa/3-seter/signature-700-3-seter-sofa-2
