varenummer,navn,variant,leverandor,kategori,nåpris,førpris,rabatt_prosent,ean,lev_varenummer,url,kampanje,antall_varianter
120024,Sagrado 3-seter sofa,Sagrado 3-seter sofa,,Alle produkter/Alle sofaer/Sofa/,17999.0,37199.0,52.0,7050733718508,1778510,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/sagrado-3-seter-sofa/?VariationId=V_5637586424,False,10
119483,Roma 3-seter XL,Roma 3-seter XL,Furninova,Alle produkter/Alle sofaer/Sofa/,14769.0,30679.0,52.0,7050733619607,2445245,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/roma-3-seter-xl/?VariationId=V_5637580467,True,33
118157,Pescara hjørnesofa,Pescara hjørnesofa,,Alle produkter/Alle sofaer/Sofa/,13850.0,29099.0,52.0,7050733593518,1777936,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/pescara-hjornesofa-118157/?VariationId=V_5637559611,True,16
118145,Pescara 3-seter med vendbar sjeselong,Pescara 3-seter med vendbar sjeselong,,Alle produkter/Alle sofaer/Sofa/,8850.0,18599.0,52.0,7050733593976,1777982,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/pescara-3-seter-med-vendbar-sjeselong/?VariationId=V_5637560211,True,8
118141,Pescara 3-seter sofa,Pescara 3-seter sofa,,Alle produkter/Alle sofaer/Sofa/,6650.0,13999.0,52.0,7050733593273,1777912,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/pescara-3-seter-sofa/?VariationId=V_5637560153,True,8
117738,Monaco 3-seter sofa,Monaco 3-seter sofa,,Alle produkter/Alle sofaer/Sofa/,9999.0,20999.0,52.0,7050733567939,1776608,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/monaco-3-seter-sofa/?VariationId=V_5637554952,True,12
117219,Monaco 3-seter med åpen ende,Monaco 3-seter med åpen ende,,Alle produkter/Alle sofaer/Sofa/,16999.0,35699.0,52.0,7050733561012,1777611,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/monaco-3-seter-med-apen-ende/?VariationId=V_5637552638,True,16
117159,Rossi 2-seter med XL sjeselong,Rossi 2-seter med XL sjeselong,,Alle produkter/Alle sofaer/Sofa/,19999.0,41999.0,52.0,7050733556735,1776833,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossi-2-seter-med-xl-sjeselong/?VariationId=V_5637551943,True,22
117163,Rossi 2-seter med XL sjeselong,Rossi 2-seter med XL sjeselong,,Alle produkter/Alle sofaer/Sofa/,19999.0,41999.0,52.0,7050733557367,1776896,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossi-2-seter-med-xl-sjeselong-117163/?VariationId=V_5637551996,True,22
117170,Rossi Lux 2-seter med XL sjeselong,Rossi Lux 2-seter med XL sjeselong,,Alle produkter/Alle sofaer/Sofa/,19999.0,41999.0,52.0,7050733558746,1777034,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossi-lux-2-seter-med-xl-sjeselong-117170/?VariationId=V_5637552087,True,22
117015,"Monaco Lux 2,5-seter med åpen ende","Monaco Lux 2,5-seter med åpen ende",,Alle produkter/Alle sofaer/Sofa/,16999.0,35699.0,52.0,7050733541373,1777600,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/monaco-lux-25-seter-med-apen-ende/?VariationId=V_5637552612,True,24
118140,Pescara 3-seter duoputer,Pescara 3-seter duoputer,,Alle produkter/Alle sofaer/Sofa/,6650.0,13999.0,52.0,7050733541335,1777900,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/pescara-3-seter-duoputer/?VariationId=V_5637560144,True,10
116949,Pescara Usofa,Pescara Usofa,,Alle produkter/Alle sofaer/Sofa/,12999.0,27299.0,52.0,7050733541359,1777902,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/pescara-usofa/?VariationId=V_5637559545,True,16
116947,Rossi Lux 2-seter med XL sjeselong,Rossi Lux 2-seter med XL sjeselong,,Alle produkter/Alle sofaer/Sofa/,19999.0,41999.0,52.0,7050733530889,1777801,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/rossi-lux-2-seter-med-xl-sjeselong/?VariationId=V_5637547338,True,22
116408,Paso Doble Night U-sofa,Paso Doble Night U-sofa,,Alle produkter/Alle sofaer/Sofa/,29999.0,62799.0,52.0,7050733352818,2433748,https://www.skeidar.no/alle-produkter/alle-sofaer/sofa/paso-doble-night-u-sofa-116408/?VariationId=V_5637525057,True,26
